distriid	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	nreq	nomprovincia	distriname	casos
2273	R1-299	50	2.0A	C4	5	1	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	46138
2273	R1-299	50	2.1A	C3	5	2	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	45078,45918
2437	R1-005	33	2.0A	C3	5	1	Asturias	E.ON DISTRIBUCION S.L.	46022
2437	R1-005	33	2.0DHA	C3	5	1	Asturias	E.ON DISTRIBUCION S.L.	44602
2437	R1-005	34	2.0A	C3	5	1	Palencia	E.ON DISTRIBUCION S.L.	44682
2437	R1-005	39	2.0A	C3	5	2	Cantabria	E.ON DISTRIBUCION S.L.	44994,46101
2301	R1-018	08	2.0A	C3	5	1	Barcelona	ESTABANELL Y PAHISA ENERGIA	44969
2301	R1-018	08	3.0A	C3	4	1	Barcelona	ESTABANELL Y PAHISA ENERGIA	44622
10866	R1-133	19	2.0A	C3	5	1	Guadalajara	HIDROELÉCTRICA EL CARMEN, S.L.	46034
2280	R1-001	01	2.0A	C3	5	2	Araba	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	44548,44577
2280	R1-001	02	2.0A	C3	5	4	Albacete	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	44373,44524,44636,45949
2280	R1-001	03	2.0A	C3	5	17	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	44499,44519,44628,44669,44672,44698,44965,45359,45465,45472,45473,45921,45933,45984,46040,46057,46099
2280	R1-001	03	2.0DHA	C3	5	3	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	44491,44937,45931
2280	R1-001	09	2.0A	C3	5	4	Burgos	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	44523,45374,45426,46060
2280	R1-001	10	2.0A	C3	5	2	Cáceres	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	45962,46067
2280	R1-001	12	2.0A	C3	5	9	Castelló	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	44603,44665,44679,45059,45063,45064,45077,45441,46015
2280	R1-001	12	2.0DHA	C3	5	1	Castelló	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	44572
2280	R1-001	16	2.0A	C3	5	1	Cuenca	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	46021
2280	R1-001	19	2.0A	C3	5	1	Guadalajara	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	45004
2280	R1-001	26	2.0A	C3	5	4	La Rioja	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	44566,44567,44657,45434
2280	R1-001	28	2.0A	C3	5	43	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	44503,44508,44511,44521,44528,44530,44540,44564,44571,44651,44661,44670,44696,44741,44935,44938,44942,44947,44961,44964,44968,44995,44996,44997,45007,45012,45013,45027,45045,45052,45070,45398,45401,45405,45419,45469,45484,45491,45923,45961,45988,46066,46092
2280	R1-001	28	2.0A	C4	5	6	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	45306,45312,45313,45314,45315,45592
2280	R1-001	28	2.0DHA	C3	5	1	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	44637
2280	R1-001	28	2.1A	C3	5	1	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	46090
2280	R1-001	28	3.0A	C3	4	2	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	44629,45436
2280	R1-001	30	2.0A	C3	5	4	Murcia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	44614,45031,46030,46058
2280	R1-001	30	2.0DHA	C3	5	2	Murcia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	44527,44678
2280	R1-001	30	3.0A	C3	4	1	Murcia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	44993
2280	R1-001	31	2.0A	C3	5	12	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	44531,44533,44575,44606,44618,44681,45024,45363,45367,45440,45458,46000
2280	R1-001	31	2.0A	C4	5	2	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	45526,46150
2280	R1-001	31	2.0DHA	C3	5	1	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	44963
2280	R1-001	34	2.0A	C3	5	1	Palencia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	46031
2280	R1-001	37	2.0A	C3	5	1	Salamanca	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	45993
2280	R1-001	42	2.0A	C3	5	2	Soria	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	45549,46149
2280	R1-001	45	2.0A	C3	5	2	Toledo	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	45357,45573
2280	R1-001	46	2.0A	C3	5	41	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	44352,44354,44367,44495,44517,44565,44598,44611,44626,44644,44676,44689,44921,44948,44974,44985,45002,45035,45038,45061,45082,45137,45365,45381,45382,45384,45397,45459,45488,45499,45545,45944,45945,45947,46010,46039,46045,46075,46093,46095,46104
2280	R1-001	46	2.0A	C4	5	5	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	45528,45530,45531,45533,45593
2280	R1-001	46	2.0DHA	C3	5	2	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	46008,46009
2280	R1-001	46	2.1DHA	C3	5	1	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	45978
2280	R1-001	46	3.0A	C4	4	3	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	44916,44917,45111
2280	R1-001	47	2.0A	C3	5	2	Valladolid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	45065,45991
2280	R1-001	48	2.0A	C3	5	4	Bizkaia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	44691,45021,45439,45470
2280	R1-001	48	2.0DHA	C3	5	1	Bizkaia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	46029
37074	R1-017	12	2.0A	C3	5	1	Castelló	MAESTRAZGO DISTRIBUCIÓN ELÉCTRICA, SLU	45448
38500	R1-258	46	2.0A	C3	5	1	València	MILLARENSE DE ELECTRICIDAD, S.A.U	46322
2402	R1-062	17	2.0A	C3	5	3	Girona	SUMINISTRO DE LUZ Y FUERZA, S.L.	45935,46147,46326
