distriid	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	nreq	nomprovincia	distriname	casos
2280	R1-001	09	2.0DHA	C3	5	2	Burgos	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9382,9389
2280	R1-001	10	2.0A	C3	5	2	Cáceres	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8090,9393
2280	R1-001	10	2.0DHA	C3	5	1	Cáceres	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9407
2280	R1-001	12	2.0A	C3	5	17	Castelló	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7572,7888,7975,8394,8413,8430,8448,8468,8531,8536,9088,9160,9266,9328,9358,9360,9388
2280	R1-001	12	2.0DHA	C3	5	2	Castelló	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8387,9243
2280	R1-001	16	2.0A	C3	5	5	Cuenca	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7837,7838,7839,9055,9190
2280	R1-001	16	2.0DHA	C3	5	1	Cuenca	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9075
2280	R1-001	16	2.1DHA	C3	5	1	Cuenca	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7946
2280	R1-001	19	2.0A	C3	5	4	Guadalajara	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7887,7895,9153,9353
2280	R1-001	20	2.0A	C3	5	2	Gipuzkoa	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7971,8643
2280	R1-001	24	2.0A	C3	5	1	León	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8518
2280	R1-001	26	2.0A	C3	5	7	La Rioja	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7925,8339,8466,8645,9181,9359,9399
2280	R1-001	26	2.0DHA	C3	5	1	La Rioja	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7836
2280	R1-001	26	2.1A	C3	5	1	La Rioja	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8338
2280	R1-001	28	2.0A	C3	5	78	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7411,7412,7436,7456,7474,7495,7506,7507,7508,7555,7556,7576,7577,7579,7581,7611,7616,7621,7622,7635,7639,7853,7859,7885,7915,7952,8033,8044,8052,8066,8073,8077,8119,8298,8314,8337,8367,8385,8388,8407,8415,8427,8428,8441,8454,8526,8545,8557,8559,8594,8596,8646,9018,9044,9052,9069,9136,9143,9144,9149,9212,9217,9225,9227,9277,9287,9309,9357,9376,9379,9384,9385,9391,9394,9396,9404,9405,9408
2280	R1-001	28	2.0DHA	C3	5	10	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7722,8001,8357,8359,8380,9022,9101,9177,9346,9369
2280	R1-001	28	2.1DHA	C3	5	1	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9118
2280	R1-001	28	3.0A	C3	4	1	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8451
2280	R1-001	30	2.0A	C3	5	17	Murcia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7846,7848,7954,8063,8555,8567,8569,8573,8576,9150,9166,9169,9185,9213,9232,9251,9398
2280	R1-001	30	2.1A	C3	5	1	Murcia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8534
2280	R1-001	31	2.0A	C3	5	52	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7402,7454,7465,7499,7542,7615,7627,7628,7872,7883,7936,7962,7969,7986,8030,8072,8074,8081,8335,8341,8453,8456,8510,8547,8551,8587,8588,9009,9026,9056,9057,9070,9111,9114,9123,9130,9142,9152,9159,9209,9211,9348,9350,9362,9365,9371,9372,9387,9395,9397,9402,9571
2280	R1-001	31	2.0DHA	C3	5	3	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8042,8461,8538
2280	R1-001	31	2.1A	C3	5	1	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7537
2280	R1-001	31	2.1DHA	C3	5	1	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7431
2280	R1-001	37	2.0A	C3	5	2	Salamanca	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8433,9157
