distri	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	nprocessos	ontime	late	verylate	ontimeaddedtime	lateaddedtime	verylateaddedtime	ontimeissues	lateissues	verylateissues	nomprovincia	nomdistribuidora	casos	bool
2273	0031	18	2.0A	C3	5	11	4	4	3	10.0	40.0	201.0	0	0	0	Granada	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	3210,5444,7494,8382,8502,8641,8647,9110,9165,9566,9567	True
2273	0031	18	2.0DHA	C3	5	3	1	0	2	1.0	0.0	132.0	0	0	0	Granada	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	3527,7593,9568	True
2273	0031	18	2.1A	C3	5	1	0	0	1	0.0	0.0	25.0	0	0	0	Granada	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7448	True
2273	0031	21	2.0A	C3	5	2	0	2	0	0.0	29.0	0.0	0	0	0	Huelva	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8039,8481	True
2273	0031	22	2.0A	C3	5	8	1	2	5	1.0	22.0	544.0	0	0	0	Huesca	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	854,934,4635,6388,6463,8327,8595,9541	True
2273	0031	23	2.0A	C3	5	2	0	0	2	0.0	0.0	215.0	0	0	0	Jaen	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	877,6966	True
2273	0031	25	2.0A	C3	5	49	9	14	26	21.0	217.0	2636.0	0	0	0	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	589,646,650,666,677,764,1293,1599,3176,3230,4364,4481,4506,4817,5218,5460,5461,5484,6088,6456,6937,7044,7092,7484,7505,7589,7935,7939,7945,7947,7950,7980,8032,8095,8096,8418,8443,8497,8578,8597,9015,9248,9250,9285,9415,9494,9495,9496,9504	True
2273	0031	25	2.0DHA	C3	5	3	1	1	1	4.0	9.0	183.0	0	0	0	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	1168,8644,9214	True
2273	0031	25	2.1A	C3	5	1	0	1	0	0.0	18.0	0.0	0	0	0	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7912	True
2273	0031	25	3.0A	C3	4	3	1	1	1	1.0	11.0	25.0	0	0	0	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7492,8616,9464	True
2273	0031	29	2.0A	C3	5	11	3	1	7	6.0	11.0	640.0	0	0	0	Málaga	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	468,641,4507,6738,6793,7109,7211,8364,9262,9498,9499	True
2273	0031	29	2.0DHA	C3	5	2	1	0	1	1.0	0.0	32.0	0	0	0	Málaga	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7090,9485	True
