distri	refdistribuidora	codiprovincia	tarname	nprocessos	ontime	late	verylate	ontimeaddedtime	lateaddedtime	verylateaddedtime	nomprovincia	nomdistribuidora	casos	bool
2280	0021	39	2.0A	1	1	0	0	0.0	0.0	0.0	Cantabria	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	12557	True
2280	0021	45	2.0A	1	1	0	0	1.0	0.0	0.0	Toledo	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	11840	True
2280	0021	46	2.0A	51	49	2	0	17.0	34.0	0.0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9569,9570,9621,9629,9640,9644,9657,9658,10033,10427,10445,10494,10581,10585,10589,10608,10973,11063,11164,11710,11720,11858,11859,11981,12023,12041,12045,12054,12055,12060,12093,12118,12147,12149,12151,12159,12160,12168,12277,12432,12436,12440,12442,12471,12483,12502,12546,12565,12567,12579,12593	True
2280	0021	46	2.0DHA	2	2	0	0	0.0	0.0	0.0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	10497,12459	True
2280	0021	46	2.1A	1	1	0	0	0.0	0.0	0.0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	12458	True
2280	0021	46	2.1DHA	1	1	0	0	0.0	0.0	0.0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	10483	True
2280	0021	47	2.0A	4	4	0	0	2.0	0.0	0.0	Valladolid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9661,11007,11163,12478	True
2280	0021	48	2.0A	13	13	0	0	0.0	0.0	0.0	Bizkaia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9630,10056,10490,10510,10566,10596,10599,11761,11781,11986,12279,12476,12599	True
2280	0021	48	2.0DHA	2	2	0	0	2.0	0.0	0.0	Bizkaia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	10469,11040	True
2280	0021	48	2.1A	1	1	0	0	0.0	0.0	0.0	Bizkaia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	10593	True
2301	0113	08	2.0A	1	0	0	1	0.0	0.0	62.0	Barcelona	ESTABANELL Y PAHISA ENERGIA	6538	True
2316	0022	13	2.0A	1	1	0	0	0.0	0.0	0.0	Ciudad Real	UNIÓN FENOSA DISTRIBUCIÓN S.A.	10527	True
2316	0022	13	2.1DHA	2	2	0	0	0.0	0.0	0.0	Ciudad Real	UNIÓN FENOSA DISTRIBUCIÓN S.A.	9613,10061	True
2316	0022	15	2.0A	4	4	0	0	6.0	0.0	0.0	A Coruña	UNIÓN FENOSA DISTRIBUCIÓN S.A.	9602,10611,11704,12110	True
2316	0022	15	2.0DHA	3	3	0	0	0.0	0.0	0.0	A Coruña	UNIÓN FENOSA DISTRIBUCIÓN S.A.	9596,12271,12507	True
2316	0022	24	2.0A	2	2	0	0	0.0	0.0	0.0	León	UNIÓN FENOSA DISTRIBUCIÓN S.A.	9605,12453	True
2316	0022	24	2.0DHA	1	1	0	0	0.0	0.0	0.0	León	UNIÓN FENOSA DISTRIBUCIÓN S.A.	11966	True
2316	0022	28	2.0A	26	25	1	0	9.0	18.0	0.0	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	9327,9597,9598,9599,9600,9614,10042,10429,10439,10451,10508,10580,10594,10695,11011,11050,11055,11689,11719,11792,12111,12274,12280,12555,12584,12588	True
2316	0022	28	2.0DHA	4	4	0	0	0.0	0.0	0.0	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	9604,9612,11968,11988	True
2316	0022	32	2.0A	1	1	0	0	0.0	0.0	0.0	Ourense	UNIÓN FENOSA DISTRIBUCIÓN S.A.	11738	True
2316	0022	36	2.0A	3	3	0	0	0.0	0.0	0.0	Pontevedra	UNIÓN FENOSA DISTRIBUCIÓN S.A.	10548,11667,12062	True
2316	0022	40	2.0A	3	3	0	0	2.0	0.0	0.0	Segovia	UNIÓN FENOSA DISTRIBUCIÓN S.A.	9916,10984,11745	True
2316	0022	40	2.0DHA	1	1	0	0	2.0	0.0	0.0	Segovia	UNIÓN FENOSA DISTRIBUCIÓN S.A.	10135	True
2406	0026	03	2.0A	1	1	0	0	0.0	0.0	0.0	Alacant	DISTRIBUCIÓN CANTÁBRICO	11774	True
2406	0026	33	2.0A	5	5	0	0	1.0	0.0	0.0	Asturias	DISTRIBUCIÓN CANTÁBRICO	10463,12048,12049,12202,12468	True
2437	0027	39	2.0A	6	6	0	0	2.0	0.0	0.0	Cantabria	E.ON DISTRIBUCION S.L.	9595,10452,10454,10455,10601,12143	True
2505	0203	31	2.0A	1	0	0	1	0.0	0.0	69.0	Navarra	Electra Valdizarbe, S.A.	6684	True
3695	0032	16	2.1DHA	1	0	0	1	0.0	0.0	41.0	Cuenca	ELECTRICA CONQUENSE, S.A.	8279	True
3723	0030	22	2.0A	2	2	0	0	0.0	0.0	0.0	Huesca	DISTRIBUCIÓN EASA	9601,12046	True
3742	0033	27	2.0A	4	4	0	0	0.0	0.0	0.0	Lugo	DISTRIBUCIÓN BEGASA	10060,10434,12117,12285	True
3742	0033	27	2.0DHA	2	2	0	0	0.0	0.0	0.0	Lugo	DISTRIBUCIÓN BEGASA	10432,11702	True
13288	0492	46	2.0A	1	1	0	0	5.0	0.0	0.0	València	FUERZAS ELECTRICAS DE VALENCIA, S.A. (FEVASA)	9313	True
17132	0172	09	2.0A	1	0	0	1	0.0	0.0	123.0	Burgos	Electra Aduriz, S.A.	3558	True
