count	distriid	distriref	codiprovincia	nomprovincia	distriname	casos
2	2280	0021	48	Bizkaia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7590,7845
1	2316	0022	15	A Coruña	UNIÓN FENOSA DISTRIBUCIÓN S.A.	7455
1	2316	0022	24	León	UNIÓN FENOSA DISTRIBUCIÓN S.A.	5452
6	2316	0022	28	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	5619,5660,6545,6963,7849,8008
1	2280	0021	03	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7418
1	2273	0031	07	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	5561
7	2273	0031	08	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	4832,5628,5723,6888,7065,7565,9147
1	2280	0021	02	Albacete	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7034
1	2280	0021	24	León	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	6889
1	2280	0021	46	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7982
1	2316	0022	15	A Coruña	UNIÓN FENOSA DISTRIBUCIÓN S.A.	7050
3	2273	0031	08	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	5754,6155,7583
1	2273	0031	22	Huesca	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	6157
3	2273	0031	43	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	5227,6891,7501
1	2280	0021	03	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	5479
1	2280	0021	12	Castelló	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7026
1	2280	0021	28	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	6625
1	2280	0021	31	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7431
1	2316	0022	28	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	1748
11	2273	0031	08	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	6434,7055,7057,7078,7079,7414,7521,7629,8082,8446,8610
1	2273	0031	17	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	6895
1	2273	0031	25	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	6440
1	2316	0022	13	Ciudad Real	UNIÓN FENOSA DISTRIBUCIÓN S.A.	6894
1	2316	0022	28	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	7049
1	2316	0022	36	Pontevedra	UNIÓN FENOSA DISTRIBUCIÓN S.A.	7606
