distri	refdistribuidora	codiprovincia	tarname	rejectreason	nprocessos	ontime	late	verylate	ontimeaddedtime	lateaddedtime	verylateaddedtime	nomprovincia	nomdistribuidora	casos	bool
2280	0021	12	2.0DHA	11	1	1	0	0	0.0	0.0	0.0	Castelló	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9920	True
2280	0021	12	2.1DHA	11	1	1	0	0	0.0	0.0	0.0	Castelló	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9855	True
2280	0021	16	2.0A	2	1	1	0	0	0.0	0.0	0.0	Cuenca	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9834	True
2280	0021	24	2.0A	11	2	2	0	0	0.0	0.0	0.0	León	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9759,10024	True
2280	0021	26	2.0A	11	5	5	0	0	0.0	0.0	0.0	La Rioja	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9742,9812,9930,10004,10077	True
2280	0021	26	2.0A	36	1	1	0	0	0.0	0.0	0.0	La Rioja	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	11842	True
2280	0021	28	2.0A	11	26	26	0	0	0.0	0.0	0.0	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9713,9728,9729,9751,9766,9829,9852,9864,9873,9887,9888,9891,9896,9904,9909,9914,9922,9924,9926,9970,10014,10031,10739,10796,10812,10836	True
2280	0021	28	2.0A	3	1	1	0	0	0.0	0.0	0.0	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	11999	True
2280	0021	28	2.0A	36	4	4	0	0	0.0	0.0	0.0	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	10013,11854,11855,11947	True
2280	0021	28	2.0A	53	1	1	0	0	0.0	0.0	0.0	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	10524	True
2280	0021	28	2.0DHA	11	1	1	0	0	0.0	0.0	0.0	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9901	True
2280	0021	28	2.0DHA	36	1	1	0	0	0.0	0.0	0.0	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	11843	True
2280	0021	28	2.0DHA	38	1	1	0	0	0.0	0.0	0.0	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	11829	True
2280	0021	28	2.1DHA	11	1	1	0	0	0.0	0.0	0.0	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9824	True
2280	0021	28	2.1DHA	3	1	1	0	0	0.0	0.0	0.0	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	11645	True
2280	0021	30	2.0A	11	2	2	0	0	0.0	0.0	0.0	Murcia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9822,9940	True
2280	0021	30	2.0A	36	1	1	0	0	0.0	0.0	0.0	Murcia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	11847	True
2280	0021	31	2.0A	11	14	14	0	0	0.0	0.0	0.0	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9760,9764,9804,9811,9820,9821,9908,9910,9913,9959,9978,10029,10076,10860	True
2280	0021	31	2.0A	3	1	1	0	0	0.0	0.0	0.0	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	11748	True
2280	0021	31	2.0A	36	1	1	0	0	0.0	0.0	0.0	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	11849	True
2280	0021	31	2.0A	38	1	1	0	0	0.0	0.0	0.0	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	11960	True
2280	0021	31	2.0DHA	40	1	1	0	0	0.0	0.0	0.0	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	10522	True
2280	0021	31	2.1A	11	1	1	0	0	0.0	0.0	0.0	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	10824	True
2280	0021	45	2.0A	11	4	4	0	0	0.0	0.0	0.0	Toledo	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9799,9836,9885,10064	True
2280	0021	45	2.0A	36	1	1	0	0	0.0	0.0	0.0	Toledo	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	11846	True
2280	0021	45	2.0DHA	11	2	2	0	0	0.0	0.0	0.0	Toledo	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9763,10028	True
2280	0021	46	2.0A	11	22	22	0	0	0.0	0.0	0.0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9738,9768,9802,9813,9817,9826,9838,9846,9854,9860,9861,9879,9893,9906,9911,9917,9933,9957,9966,10000,10067,10946	True
2280	0021	46	2.0A	17	1	1	0	0	0.0	0.0	0.0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	10476	True
2280	0021	46	2.0A	3	1	1	0	0	0.0	0.0	0.0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	11742	True
2280	0021	46	2.0A	36	2	2	0	0	0.0	0.0	0.0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	11844,11850	True
2280	0021	47	2.0A	36	1	1	0	0	0.0	0.0	0.0	Valladolid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	10985	True
2280	0021	48	2.0A	11	2	2	0	0	0.0	0.0	0.0	Bizkaia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9791,10879	True
2301	0113	08	2.0A	None	1	0	0	1	0.0	0.0	36.0	Barcelona	ESTABANELL Y PAHISA ENERGIA	8061	True
2316	0022	15	2.0A	2	1	1	0	0	0.0	0.0	0.0	A Coruña	UNIÓN FENOSA DISTRIBUCIÓN S.A.	9862	True
2316	0022	15	2.0A	3	1	1	0	0	0.0	0.0	0.0	A Coruña	UNIÓN FENOSA DISTRIBUCIÓN S.A.	12497	True
2316	0022	19	2.0A	2	2	2	0	0	0.0	0.0	0.0	Guadalajara	UNIÓN FENOSA DISTRIBUCIÓN S.A.	9923,9976	True
2316	0022	24	2.0A	2	1	1	0	0	0.0	0.0	0.0	León	UNIÓN FENOSA DISTRIBUCIÓN S.A.	9866	True
2316	0022	28	2.0A	1	1	1	0	0	0.0	0.0	0.0	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	9982	True
2316	0022	28	2.0A	2	8	8	0	0	0.0	0.0	0.0	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	9853,9881,9934,9968,10040,10057,10070,11697	True
2316	0022	28	2.0A	3	5	5	0	0	0.0	0.0	0.0	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	9984,10021,10044,12199,12553	True
2316	0022	28	2.0A	40	3	3	0	0	0.0	0.0	0.0	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	9652,9967,11952	True
2316	0022	28	2.0DHA	2	3	3	0	0	0.0	0.0	0.0	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	9849,9902,10022	True
2316	0022	36	2.0A	3	1	1	0	0	0.0	0.0	0.0	Pontevedra	UNIÓN FENOSA DISTRIBUCIÓN S.A.	9972	True
2316	0022	40	2.0DHA	40	1	1	0	0	0.0	0.0	0.0	Segovia	UNIÓN FENOSA DISTRIBUCIÓN S.A.	9603	True
2406	0026	33	2.0A	1	1	1	0	0	0.0	0.0	0.0	Asturias	DISTRIBUCIÓN CANTÁBRICO	12083	True
3245	0232	43	2.0A	None	1	0	0	1	0.0	0.0	131.0	Tarragona	ELECTRICA DEL EBRO, S.A.	3222	True
3695	0032	16	2.0A	36	1	1	0	0	0.0	0.0	0.0	Cuenca	ELECTRICA CONQUENSE, S.A.	11841	True
3723	0030	22	2.0A	11	1	1	0	0	0.0	0.0	0.0	Huesca	DISTRIBUCIÓN EASA	9939	True
