nprocessos	ontime	late	verylate	codiprovincia	distri	tarname	refdistribuidora	nomprovincia	nomdistribuidora	casos	bool
1	1	0	0	33	2406	2.0A	0026	Asturias	DISTRIBUCIÓN CANTÁBRICO	28439	True
1	0	0	1	43	3245	2.0A	0232	Tarragona	ELECTRICA DEL EBRO, S.A.	25914	True
1	1	0	0	07	3528	2.0DHA	0169	Balears, Illes	VALL DE SOLLER ENERGIA	28520	True
2	0	0	2	17	4562	2.1A	0336	Girona	LERSA ELECTRICITAT, S.L.	25204,25853	True
1	0	0	1	48	5850	2.0A	0210	Bizkaia	ELÉCTRICA CORVERA, S.L.	26702	True
1	0	1	0	11	6298	2.0A	0034	Cádiz	SUMINISTRADORA ELECTRICA DE CADIZ, S.A.	28096	True
1	0	0	1	25	7037	2.0DHA	0345	Lleida	PRODUCTORA ELECTRICA URGELENSE	26674	True
2	0	0	2	12	7898	2.0A	0189	Castelló	ELECTRA DEL MAESTRAZGO, S.A. IB	9794,10059	True
2	2	0	0	25	8811	2.0A	0170	Lleida	EL PROGRESO PIRINEO-HEROS.FRANCISCO BOLLO QUELLA	28391,28392	True
1	0	0	1	22	9626	2.0A	0116	Huesca	AGUAS DE BARBASTRO ELECTRICIDAD, S.A.	25161	True
1	0	0	1	25	10501	2.0A	0552	Lleida	ELECTRICA DEL MONTSEC, S.L.	25891	True
2	0	0	2	19	10866	2.0DHA	0306	Guadalajara	HIDROELÉCTRICA EL CARMEN, S.L.	8434,23421	True
2	0	0	2	19	10866	2.1A	0306	Guadalajara	HIDROELÉCTRICA EL CARMEN, S.L.	2642,9975	True
2	0	1	1	25	11861	2.0A	0223	Lleida	ELECTRICA DE GUIXES, SL	25944,27316	True
2	0	0	2	17	12849	2.0A	0126	Girona	CENTRAL ELÉCTRICA MITJANS, S.L.	17443,22315	True
5	0	1	4	08	14870	2.0A	0192	Barcelona	ELECTRA DISTRIBUCIÓ CENTELLES, S.L.	1259,9977,13771,26166,28080	True
1	0	0	1	01	18786	2.0A	0282	Araba	ENERGÍAS DE PANTICOSA, S.L.	27037	True
1	0	0	1	52	25046	2.0A	0134	Melilla	COMPAÑIA HISPANO MARROQUÍ GAS Y ELECT.	14446	True
2	0	0	2	11	28227	2.0A	0251	Cádiz	ELÉCTRICA NTRA. SRA. DE LOS REMEDIOS, S.L.	19925,23830	True
1	0	0	1	05	29047	2.0A	0315	Avila	HIDROELÉCTRICA VEGA, S.A.	23716	True
2	0	1	1	37	29945	2.0A	0299	Salamanca	HIDROELÉCTRICA DE ALARAZ, S.L.	24124,27826	True
1	0	1	0	10	32420	2.0A	0273	Cáceres	EMDECORIA, S.L.	27960	True
1	0	1	0	25	32433	2.1A	0553	Lleida	EMPRESA MUNICIPAL DE DISTRIBUCIO D'ENERGIA ELECTRICA D'ALMENAR, S.L.	27966	True
1	0	0	1	38	None	2.0A	None	Santa Cruz de Tenerife	None	3145	True
